created_at=>2010-12-28 20:40:55 UTC,title=>Candice,updated_at=>2011-01-20 22:30:23 UTC,id=>1,day=>,upload_file_name=>fp_01_01_01_candice.png,upload_file_size=>126405,upload_content_type=>image/png,upload_url=>http://s3.amazonaws.com/fullbridge-images/fp_01_01_01_candice.png,tags=>Day 2; 
created_at=>2010-12-28 20:40:55 UTC,title=>Allen gates,updated_at=>2011-02-03 04:47:13 UTC,id=>2,day=>3,upload_file_name=>fp_03_02_01_allen_gates.png,upload_file_size=>108958,upload_content_type=>image/png,upload_url=>http://s3.amazonaws.com/fullbridge-images/fp_03_02_01_allen_gates.png,tags=>Day 2; Unit 3
created_at=>2010-12-28 20:40:56 UTC,title=>Microsoft logo,updated_at=>2010-12-28 20:40:56 UTC,id=>3,day=>,upload_file_name=>fp_03_02_01_microsoft_logo.png,upload_file_size=>49044,upload_content_type=>image/png,upload_url=>http://s3.amazonaws.com/fullbridge-images/fp_03_02_01_microsoft_logo.png,tags=>Day 2; 
created_at=>2010-12-28 20:40:56 UTC,title=>Microsoft old logo,updated_at=>2011-01-05 14:31:59 UTC,id=>4,day=>,upload_file_name=>fp_03_02_01_microsoft_old_logo.png,upload_file_size=>57846,upload_content_type=>image/png,upload_url=>http://s3.amazonaws.com/fullbridge-images/fp_03_02_01_microsoft_old_logo.png,tags=>Day 2; 
created_at=>2010-12-28 20:40:56 UTC,title=>Microsoft tablet,updated_at=>2011-01-05 14:34:16 UTC,id=>5,day=>,upload_file_name=>fp_03_02_01_microsoft_tablet.png,upload_file_size=>239410,upload_content_type=>image/png,upload_url=>http://s3.amazonaws.com/fullbridge-images/fp_03_02_01_microsoft_tablet.png,tags=>Day 2; 
created_at=>2010-12-28 20:40:56 UTC,title=>Starbucks,updated_at=>2011-01-05 14:31:34 UTC,id=>6,day=>,upload_file_name=>fp_03_02_01_starbucks.jpg,upload_file_size=>2001417,upload_content_type=>image/jpeg,upload_url=>http://s3.amazonaws.com/fullbridge-images/fp_03_02_01_starbucks.jpg,tags=>Day 2; 
created_at=>2010-12-28 20:40:56 UTC,title=>Beyond bullets cover,updated_at=>2010-12-28 20:40:56 UTC,id=>7,day=>,upload_file_name=>fp_03_03_01_beyond_bullets_cover.png,upload_file_size=>70526,upload_content_type=>image/png,upload_url=>http://s3.amazonaws.com/fullbridge-images/fp_03_03_01_beyond_bullets_cover.png,tags=>Day 2; 
created_at=>2010-12-28 20:40:56 UTC,title=>Beyond bullets cover,updated_at=>2010-12-28 20:40:56 UTC,id=>8,day=>,upload_file_name=>fp_03_03_02_beyond_bullets_cover.png,upload_file_size=>77686,upload_content_type=>image/png,upload_url=>http://s3.amazonaws.com/fullbridge-images/fp_03_03_02_beyond_bullets_cover.png,tags=>Day 2; 
created_at=>2010-12-28 20:40:56 UTC,title=>Beyond bullets cover,updated_at=>2010-12-28 20:40:56 UTC,id=>9,day=>,upload_file_name=>fp_03_03_03_beyond_bullets_cover.png,upload_file_size=>78516,upload_content_type=>image/png,upload_url=>http://s3.amazonaws.com/fullbridge-images/fp_03_03_03_beyond_bullets_cover.png,tags=>Day 2; 
created_at=>2010-12-28 20:40:56 UTC,title=>Assess team,updated_at=>2011-01-05 19:21:29 UTC,id=>10,day=>,upload_file_name=>fp_04_02_01_assess_team.jpg,upload_file_size=>1713847,upload_content_type=>image/jpeg,upload_url=>http://s3.amazonaws.com/fullbridge-images/fp_04_02_01_assess_team.jpg,tags=>Day 2; 
created_at=>2010-12-28 20:40:56 UTC,title=>Fifth element cover,updated_at=>2011-02-03 04:47:13 UTC,id=>11,day=>4,upload_file_name=>fp_04_03_01_fifth_element_cover.png,upload_file_size=>239266,upload_content_type=>image/png,upload_url=>http://s3.amazonaws.com/fullbridge-images/fp_04_03_01_fifth_element_cover.png,tags=>Day 2; Unit 4; The Science Behind Effective Teams
created_at=>2010-12-28 20:40:56 UTC,title=>Trumpets,updated_at=>2011-01-05 19:23:55 UTC,id=>12,day=>,upload_file_name=>fp_04_03_01_trumpets.png,upload_file_size=>259655,upload_content_type=>image/png,upload_url=>http://s3.amazonaws.com/fullbridge-images/fp_04_03_01_trumpets.png,tags=>Day 2; 
created_at=>2010-12-28 20:40:56 UTC,title=>Auto monk,updated_at=>2011-02-03 04:47:13 UTC,id=>13,day=>4,upload_file_name=>fp_04_04_01_auto_monk.png,upload_file_size=>206613,upload_content_type=>image/png,upload_url=>http://s3.amazonaws.com/fullbridge-images/fp_04_04_01_auto_monk.png,tags=>Day 2; Unit 4; Future Potential; Looking to the Future; Future Potential
created_at=>2010-12-28 20:40:56 UTC,title=>Hbr praise leader cover,updated_at=>2011-02-03 04:47:13 UTC,id=>14,day=>5,upload_file_name=>fp_05_02_01_hbr_praise_leader_cover.png,upload_file_size=>27109,upload_content_type=>image/png,upload_url=>http://s3.amazonaws.com/fullbridge-images/fp_05_02_01_hbr_praise_leader_cover.png,tags=>Day 3; Unit 5
created_at=>2010-12-28 20:40:56 UTC,title=>Everest base camp,updated_at=>2011-02-03 04:47:13 UTC,id=>15,day=>5,upload_file_name=>fp_05_03_01_everest_base_camp.jpg,upload_file_size=>1780747,upload_content_type=>image/jpeg,upload_url=>http://s3.amazonaws.com/fullbridge-images/fp_05_03_01_everest_base_camp.jpg,tags=>Day 3; Unit 5
created_at=>2010-12-28 20:40:56 UTC,title=>Plan b cover,updated_at=>2011-01-05 21:21:08 UTC,id=>16,day=>,upload_file_name=>fp_06_01_01_plan_b_cover.jpg,upload_file_size=>5669,upload_content_type=>image/jpeg,upload_url=>http://s3.amazonaws.com/fullbridge-images/fp_06_01_01_plan_b_cover.jpg,tags=>Day 3; 
created_at=>2010-12-28 20:40:57 UTC,title=>Randy,updated_at=>2011-01-06 02:12:13 UTC,id=>17,day=>,upload_file_name=>fp_06_01_01_randy.jpg,upload_file_size=>5554,upload_content_type=>image/jpeg,upload_url=>http://s3.amazonaws.com/fullbridge-images/fp_06_01_01_randy.jpg,tags=>Day 3; 
created_at=>2010-12-28 20:40:57 UTC,title=>Napster acquisition,updated_at=>2011-02-03 04:47:13 UTC,id=>18,day=>6,upload_file_name=>fp_06_01_02_napster_acquisition.jpg,upload_file_size=>15714,upload_content_type=>image/jpeg,upload_url=>http://s3.amazonaws.com/fullbridge-images/fp_06_01_02_napster_acquisition.jpg,tags=>Day 3; Unit 6
created_at=>2010-12-28 20:40:57 UTC,title=>Solo window,updated_at=>2011-01-06 02:58:43 UTC,id=>19,day=>,upload_file_name=>fp_06_01_03_solo_window.jpg,upload_file_size=>46543,upload_content_type=>image/jpeg,upload_url=>http://s3.amazonaws.com/fullbridge-images/fp_06_01_03_solo_window.jpg,tags=>Day 3; 
created_at=>2010-12-28 20:40:57 UTC,title=>Ideo philosophy text,updated_at=>2011-01-06 03:14:04 UTC,id=>20,day=>,upload_file_name=>fp_06_02_01_ideo_philosophy_text.jpg,upload_file_size=>44815,upload_content_type=>image/jpeg,upload_url=>http://s3.amazonaws.com/fullbridge-images/fp_06_02_01_ideo_philosophy_text.jpg,tags=>Day 3; 
created_at=>2010-12-28 20:40:57 UTC,title=>Planb,updated_at=>2011-01-06 17:27:55 UTC,id=>21,day=>,upload_file_name=>fp_06_02_01_planb.jpg,upload_file_size=>15603,upload_content_type=>image/jpeg,upload_url=>http://s3.amazonaws.com/fullbridge-images/fp_06_02_01_planb.jpg,tags=>Day 3; 
created_at=>2010-12-28 20:40:57 UTC,title=>Cassette tape,updated_at=>2011-02-03 04:47:13 UTC,id=>22,day=>6,upload_file_name=>fp_06_02_02_cassette_tape.png,upload_file_size=>696761,upload_content_type=>image/png,upload_url=>http://s3.amazonaws.com/fullbridge-images/fp_06_02_02_cassette_tape.png,tags=>Day 3; Unit 6; Collaborate
created_at=>2010-12-28 20:40:57 UTC,title=>Televisions,updated_at=>2011-01-06 07:03:01 UTC,id=>23,day=>,upload_file_name=>fp_06_02_02_televisions.jpg,upload_file_size=>2119527,upload_content_type=>image/jpeg,upload_url=>http://s3.amazonaws.com/fullbridge-images/fp_06_02_02_televisions.jpg,tags=>Day 3; 
created_at=>2010-12-28 20:40:57 UTC,title=>Dashboard,updated_at=>2011-01-06 07:27:09 UTC,id=>24,day=>,upload_file_name=>fp_06_03_02_dashboard.jpg,upload_file_size=>35095,upload_content_type=>image/jpeg,upload_url=>http://s3.amazonaws.com/fullbridge-images/fp_06_03_02_dashboard.jpg,tags=>Day 3; 
